Zip	City	State	Region	District	Latitude (State Centre)	Lonitude (State Centre)2
16860	Munson, PA	PA	East	District #13	40.820048	-77.61733413
16861	New Millport, PA	PA	East	District #13	40.820048	-77.61733413
16863	Olanta, PA	PA	East	District #13	40.820048	-77.61733413
16871	Pottersdale, PA	PA	East	District #13	40.820048	-77.61733413
16873	Shawville, PA	PA	East	District #13	40.820048	-77.61733413
16876	Wallaceton, PA	PA	East	District #13	40.820048	-77.61733413
16877	Warriors Mark, PA	PA	East	District #13	40.820048	-77.61733413
16878	West Decatur, PA	PA	East	District #13	40.820048	-77.61733413
16879	Winburne, PA	PA	East	District #13	40.820048	-77.61733413
16881	Woodland, PA	PA	East	District #13	40.820048	-77.61733413
17052	Mapleton Depot, PA	PA	East	District #13	40.820048	-77.61733413
17060	Mill Creek, PA	PA	East	District #13	40.820048	-77.61733413
17066	Mount Union, PA	PA	East	District #13	40.820048	-77.61733413
17075	Newton Hamilton, PA	PA	East	District #13	40.820048	-77.61733413
15001	Aliquippa, PA	PA	East	District #13	40.820048	-77.61733413
15003	Ambridge, PA	PA	East	District #13	40.820048	-77.61733413
15004	Atlasburg, PA	PA	East	District #13	40.820048	-77.61733413
15005	Baden, PA	PA	East	District #13	40.820048	-77.61733413
15006	Bairdford, PA	PA	East	District #13	40.820048	-77.61733413
15007	Bakerstown, PA	PA	East	District #13	40.820048	-77.61733413
15009	Beaver, PA	PA	East	District #13	40.820048	-77.61733413
15010	Beaver Falls, PA	PA	East	District #13	40.820048	-77.61733413
15012	Belle Vernon, PA	PA	East	District #13	40.820048	-77.61733413
15014	Brackenridge, PA	PA	East	District #13	40.820048	-77.61733413
15015	Bradfordwoods, PA	PA	East	District #13	40.820048	-77.61733413
15017	Bridgeville, PA	PA	East	District #13	40.820048	-77.61733413
15018	Buena Vista, PA	PA	East	District #13	40.820048	-77.61733413
15019	Bulger, PA	PA	East	District #13	40.820048	-77.61733413
15020	Bunola, PA	PA	East	District #13	40.820048	-77.61733413
15021	Burgettstown, PA	PA	East	District #13	40.820048	-77.61733413
15022	Charleroi, PA	PA	East	District #13	40.820048	-77.61733413
15024	Cheswick, PA	PA	East	District #13	40.820048	-77.61733413
15025	Clairton, PA	PA	East	District #13	40.820048	-77.61733413
15026	Clinton, PA	PA	East	District #13	40.820048	-77.61733413
15027	Conway, PA	PA	East	District #13	40.820048	-77.61733413
15028	Coulters, PA	PA	East	District #13	40.820048	-77.61733413
15030	Creighton, PA	PA	East	District #13	40.820048	-77.61733413
15031	Cuddy, PA	PA	East	District #13	40.820048	-77.61733413
15032	Curtisville, PA	PA	East	District #13	40.820048	-77.61733413
15033	Donora, PA	PA	East	District #13	40.820048	-77.61733413
15034	Dravosburg, PA	PA	East	District #13	40.820048	-77.61733413
15035	East Mc Keesport, PA	PA	East	District #13	40.820048	-77.61733413
15037	Elizabeth, PA	PA	East	District #13	40.820048	-77.61733413
15038	Elrama, PA	PA	East	District #13	40.820048	-77.61733413
15042	Freedom, PA	PA	East	District #13	40.820048	-77.61733413
15043	Georgetown, PA	PA	East	District #13	40.820048	-77.61733413
15044	Gibsonia, PA	PA	East	District #13	40.820048	-77.61733413
15045	Glassport, PA	PA	East	District #13	40.820048	-77.61733413
15046	Crescent, PA	PA	East	District #13	40.820048	-77.61733413
15047	Greenock, PA	PA	East	District #13	40.820048	-77.61733413
15049	Harwick, PA	PA	East	District #13	40.820048	-77.61733413
15050	Hookstown, PA	PA	East	District #13	40.820048	-77.61733413
15051	Indianola, PA	PA	East	District #13	40.820048	-77.61733413
15052	Industry, PA	PA	East	District #13	40.820048	-77.61733413
15053	Joffre, PA	PA	East	District #13	40.820048	-77.61733413
15054	Langeloth, PA	PA	East	District #13	40.820048	-77.61733413
15055	Lawrence, PA	PA	East	District #13	40.820048	-77.61733413
15056	Leetsdale, PA	PA	East	District #13	40.820048	-77.61733413
15057	Mc Donald, PA	PA	East	District #13	40.820048	-77.61733413
15059	Midland, PA	PA	East	District #13	40.820048	-77.61733413
15060	Midway, PA	PA	East	District #13	40.820048	-77.61733413
15061	Monaca, PA	PA	East	District #13	40.820048	-77.61733413
15062	Monessen, PA	PA	East	District #13	40.820048	-77.61733413
15063	Monongahela, PA	PA	East	District #13	40.820048	-77.61733413
15064	Morgan, PA	PA	East	District #13	40.820048	-77.61733413
15065	Natrona Heights, PA	PA	East	District #13	40.820048	-77.61733413
15066	New Brighton, PA	PA	East	District #13	40.820048	-77.61733413
15067	New Eagle, PA	PA	East	District #13	40.820048	-77.61733413
15068	New Kensington, PA	PA	East	District #13	40.820048	-77.61733413
